R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
,,,,,,,,,,,,,,,27.84,361.4171,2.319912
,,,,,,,,,,,,,,,27.85,361.4076,2.32075
,,,,,,,,,,,,,,,27.86,361.4044,2.321587
,,,,,,,,,,,,,,,27.87,361.4171,2.322425
,,,,,,,,,,,,,,,27.88,361.4648,2.323237
,,,,,,,,,,,,,,,27.89,361.5189,2.324062
,,,,,,,,,,,,,,,27.9,361.5602,2.3249
,,,,,,,,,,,,,,,27.91,361.5602,2.325725
,,,,,,,,,,,,,,,27.92,361.5507,2.326562
,,,,,,,,,,,,,,,27.93,361.5538,2.3274
,,,,,,,,,,,,,,,27.94,361.5761,2.328225
,,,,,,,,,,,,,,,27.95,361.6015,2.329062
,,,,,,,,,,,,,,,27.96,361.6015,2.329887
,,,,,,,,,,,,,,,27.97,361.5856,2.330713
,,,,,,,,,,,,,,,27.98,361.5761,2.33155
,,,,,,,,,,,,,,,27.99,361.5697,2.332362
,,,,,,,,,,,,,,,28,361.5443,2.3332
,,,,,,,,,,,,,,,28.01,361.4839,2.334025
,,,,,,,,,,,,,,,28.02,361.4235,2.334862
,,,,,,,,,,,,,,,28.03,361.3726,2.335712
,,,,,,,,,,,,,,,28.04,361.3281,2.336562
,,,,,,,,,,,,,,,28.05,361.2709,2.3374
,,,,,,,,,,,,,,,28.06,361.22,2.338238
,,,,,,,,,,,,,,,28.07,361.1978,2.339062
,,,,,,,,,,,,,,,28.08,361.1819,2.3399
,,,,,,,,,,,,,,,28.09,361.1596,2.340725
,,,,,,,,,,,,,,,28.1,361.1151,2.341575
,,,,,,,,,,,,,,,28.11,361.0547,2.3424
,,,,,,,,,,,,,,,28.12,361.0039,2.343237
,,,,,,,,,,,,,,,28.13,360.9594,2.344075
,,,,,,,,,,,,,,,28.14,360.918,2.344913
,,,,,,,,,,,,,,,28.15,360.8894,2.345737
,,,,,,,,,,,,,,,28.16,360.8831,2.346575
,,,,,,,,,,,,,,,28.17,360.8831,2.347412
,,,,,,,,,,,,,,,28.18,360.8576,2.348225
,,,,,,,,,,,,,,,28.19,360.8068,2.34905
,,,,,,,,,,,,,,,28.2,360.7527,2.349862
,,,,,,,,,,,,,,,28.21,360.7209,2.350688
,,,,,,,,,,,,,,,28.22,360.705,2.351512
,,,,,,,,,,,,,,,28.23,360.7019,2.35235
,,,,,,,,,,,,,,,28.24,360.7114,2.3532
,,,,,,,,,,,,,,,28.25,360.7114,2.35405
,,,,,,,,,,,,,,,28.26,360.705,2.354887
,,,,,,,,,,,,,,,28.27,360.6924,2.355725
,,,,,,,,,,,,,,,28.28,360.686,2.35655
,,,,,,,,,,,,,,,28.29,360.705,2.357375
,,,,,,,,,,,,,,,28.3,360.7623,2.358225
,,,,,,,,,,,,,,,28.31,360.8163,2.359062
,,,,,,,,,,,,,,,28.32,360.8322,2.3599
,,,,,,,,,,,,,,,28.33,360.8068,2.360737
,,,,,,,,,,,,,,,28.34,360.7782,2.361575
,,,,,,,,,,,,,,,28.35,360.7559,2.362425
,,,,,,,,,,,,,,,28.36,360.7527,2.36325
,,,,,,,,,,,,,,,28.37,360.7623,2.364075
,,,,,,,,,,,,,,,28.38,360.7813,2.3649
,,,,,,,,,,,,,,,28.39,360.8131,2.365725
,,,,,,,,,,,,,,,28.4,360.8068,2.366537
,,,,,,,,,,,,,,,28.41,360.7813,2.367362
,,,,,,,,,,,,,,,28.42,360.7654,2.3682
,,,,,,,,,,,,,,,28.43,360.7877,2.36905
,,,,,,,,,,,,,,,28.44,360.8163,2.369887
,,,,,,,,,,,,,,,28.45,360.8417,2.370738
,,,,,,,,,,,,,,,28.46,360.8513,2.371562
,,,,,,,,,,,,,,,28.47,360.8576,2.3724
,,,,,,,,,,,,,,,28.48,360.8735,2.373225
,,,,,,,,,,,,,,,28.49,360.8894,2.374038
,,,,,,,,,,,,,,,28.5,360.899,2.374887
,,,,,,,,,,,,,,,28.51,360.9149,2.375725
,,,,,,,,,,,,,,,28.52,360.9339,2.37655
,,,,,,,,,,,,,,,28.53,360.9403,2.377388
,,,,,,,,,,,,,,,28.54,360.9244,2.378225
,,,,,,,,,,,,,,,28.55,360.9244,2.379075
,,,,,,,,,,,,,,,28.56,360.9594,2.3799
,,,,,,,,,,,,,,,28.57,361.0102,2.380725
,,,,,,,,,,,,,,,28.58,361.0484,2.38155
,,,,,,,,,,,,,,,28.59,361.0547,2.382387
,,,,,,,,,,,,,,,28.6,361.0357,2.383212
,,,,,,,,,,,,,,,28.61,361.0102,2.384037
,,,,,,,,,,,,,,,28.62,360.9753,2.384875
,,,,,,,,,,,,,,,28.63,360.9339,2.3857
,,,,,,,,,,,,,,,28.64,360.9149,2.38655
,,,,,,,,,,,,,,,28.65,360.9339,2.387388
,,,,,,,,,,,,,,,28.66,360.9785,2.388237
,,,,,,,,,,,,,,,28.67,361.0198,2.389075
,,,,,,,,,,,,,,,28.68,361.0484,2.389887
,,,,,,,,,,,,,,,28.69,361.0706,2.390712
,,,,,,,,,,,,,,,28.7,361.0802,2.39155
,,,,,,,,,,,,,,,28.71,361.0865,2.392375
,,,,,,,,,,,,,,,28.72,361.0865,2.393213
,,,,,,,,,,,,,,,28.73,361.0897,2.39405
,,,,,,,,,,,,,,,28.74,361.112,2.394887
,,,,,,,,,,,,,,,28.75,361.131,2.395737
,,,,,,,,,,,,,,,28.76,361.1501,2.396562
,,,,,,,,,,,,,,,28.77,361.1596,2.3974
,,,,,,,,,,,,,,,28.78,361.1501,2.398225
,,,,,,,,,,,,,,,28.79,361.1342,2.39905
,,,,,,,,,,,,,,,28.8,361.1247,2.399875
,,,,,,,,,,,,,,,28.81,361.1215,2.4007
,,,,,,,,,,,,,,,28.82,361.1215,2.401537
,,,,,,,,,,,,,,,28.83,361.1342,2.402387
,,,,,,,,,,,,,,,28.84,361.1501,2.403225
,,,,,,,,,,,,,,,28.85,361.1724,2.404075
,,,,,,,,,,,,,,,28.86,361.1914,2.404912
,,,,,,,,,,,,,,,28.87,361.2264,2.405737
,,,,,,,,,,,,,,,28.88,361.2836,2.406562
,,,,,,,,,,,,,,,28.89,361.3313,2.407387
,,,,,,,,,,,,,,,28.9,361.3376,2.408225
,,,,,,,,,,,,,,,28.91,361.2963,2.409062
,,,,,,,,,,,,,,,28.92,361.2455,2.4099
,,,,,,,,,,,,,,,28.93,361.2423,2.41075
,,,,,,,,,,,,,,,28.94,361.2709,2.411587
,,,,,,,,,,,,,,,28.95,361.3122,2.412412
,,,,,,,,,,,,,,,28.96,361.3535,2.41325
,,,,,,,,,,,,,,,28.97,361.3822,2.414075
,,,,,,,,,,,,,,,28.98,361.4076,2.4149
,,,,,,,,,,,,,,,28.99,361.4298,2.415725
,,,,,,,,,,,,,,,29,361.4489,2.41655
,,,,,,,,,,,,,,,29.01,361.4648,2.417375
,,,,,,,,,,,,,,,29.02,361.468,2.418212
,,,,,,,,,,,,,,,29.03,361.4489,2.419075
,,,,,,,,,,,,,,,29.04,361.4171,2.419912
,,,,,,,,,,,,,,,29.05,361.3981,2.420763
,,,,,,,,,,,,,,,29.06,361.4139,2.421587
,,,,,,,,,,,,,,,29.07,361.433,2.422412
,,,,,,,,,,,,,,,29.08,361.4394,2.42325
,,,,,,,,,,,,,,,29.09,361.4394,2.424062
,,,,,,,,,,,,,,,29.1,361.4426,2.424912
,,,,,,,,,,,,,,,29.11,361.4585,2.425737
,,,,,,,,,,,,,,,29.12,361.4839,2.426575
,,,,,,,,,,,,,,,29.13,361.5252,2.4274
,,,,,,,,,,,,,,,29.14,361.5793,2.428237
,,,,,,,,,,,,,,,29.15,361.6142,2.429062
,,,,,,,,,,,,,,,29.16,361.627,2.4299
,,,,,,,,,,,,,,,29.17,361.6301,2.430725
,,,,,,,,,,,,,,,29.18,361.6396,2.43155
,,,,,,,,,,,,,,,29.19,361.6619,2.432375
,,,,,,,,,,,,,,,29.2,361.6969,2.4332
,,,,,,,,,,,,,,,29.21,361.7255,2.434012
,,,,,,,,,,,,,,,29.22,361.7382,2.43485
,,,,,,,,,,,,,,,29.23,361.7159,2.4357
,,,,,,,,,,,,,,,29.24,361.6905,2.436538
,,,,,,,,,,,,,,,29.25,361.6714,2.437387
,,,,,,,,,,,,,,,29.26,361.6651,2.438225
,,,,,,,,,,,,,,,29.27,361.681,2.439062
,,,,,,,,,,,,,,,29.28,361.7255,2.439888
,,,,,,,,,,,,,,,29.29,361.7732,2.440712
,,,,,,,,,,,,,,,29.3,361.7827,2.441562
,,,,,,,,,,,,,,,29.31,361.7636,2.4424
,,,,,,,,,,,,,,,29.32,361.7573,2.443225
,,,,,,,,,,,,,,,29.33,361.7668,2.444075
,,,,,,,,,,,,,,,29.34,361.7732,2.444912
,,,,,,,,,,,,,,,29.35,361.7636,2.44575
,,,,,,,,,,,,,,,29.36,361.7827,2.446587
,,,,,,,,,,,,,,,29.37,361.8272,2.447412
,,,,,,,,,,,,,,,29.38,361.859,2.448237
,,,,,,,,,,,,,,,29.39,361.8527,2.44905
,,,,,,,,,,,,,,,29.4,361.8527,2.449875
,,,,,,,,,,,,,,,29.41,361.8685,2.4507
,,,,,,,,,,,,,,,29.42,361.8876,2.451537
,,,,,,,,,,,,,,,29.43,361.8876,2.452375
,,,,,,,,,,,,,,,29.44,361.8972,2.453212
,,,,,,,,,,,,,,,29.45,361.9194,2.454062
,,,,,,,,,,,,,,,29.46,361.9385,2.454887
,,,,,,,,,,,,,,,29.47,361.9607,2.455725
,,,,,,,,,,,,,,,29.48,361.9989,2.45655
,,,,,,,,,,,,,,,29.49,362.0338,2.457375
,,,,,,,,,,,,,,,29.5,362.0561,2.458225
,,,,,,,,,,,,,,,29.51,362.0466,2.459062
,,,,,,,,,,,,,,,29.52,362.0211,2.459888
,,,,,,,,,,,,,,,29.53,361.9893,2.460737
,,,,,,,,,,,,,,,29.54,361.9734,2.461575
,,,,,,,,,,,,,,,29.55,361.9893,2.462412
,,,,,,,,,,,,,,,29.56,362.0338,2.46325
,,,,,,,,,,,,,,,29.57,362.0911,2.464075
,,,,,,,,,,,,,,,29.58,362.126,2.464912
,,,,,,,,,,,,,,,29.59,362.1197,2.465725
,,,,,,,,,,,,,,,29.6,362.1006,2.46655
,,,,,,,,,,,,,,,29.61,362.107,2.467375
,,,,,,,,,,,,,,,29.62,362.1101,2.4682
,,,,,,,,,,,,,,,29.63,362.107,2.46905
,,,,,,,,,,,,,,,29.64,362.0911,2.4699
,,,,,,,,,,,,,,,29.65,362.0911,2.470737
,,,,,,,,,,,,,,,29.66,362.1101,2.471562
,,,,,,,,,,,,,,,29.67,362.1419,2.4724
,,,,,,,,,,,,,,,29.68,362.1674,2.473225
,,,,,,,,,,,,,,,29.69,362.1801,2.474037
,,,,,,,,,,,,,,,29.7,362.1801,2.474875
,,,,,,,,,,,,,,,29.71,362.1705,2.475713
,,,,,,,,,,,,,,,29.72,362.1674,2.476537
,,,,,,,,,,,,,,,29.73,362.1928,2.477375
,,,,,,,,,,,,,,,29.74,362.2405,2.478212
,,,,,,,,,,,,,,,29.75,362.2913,2.47905
,,,,,,,,,,,,,,,29.76,362.3072,2.479887
,,,,,,,,,,,,,,,29.77,362.304,2.480712
,,,,,,,,,,,,,,,29.78,362.304,2.48155
,,,,,,,,,,,,,,,29.79,362.3231,2.482363
,,,,,,,,,,,,,,,29.8,362.339,2.483187
,,,,,,,,,,,,,,,29.81,362.3295,2.484025
,,,,,,,,,,,,,,,29.82,362.3136,2.484862
,,,,,,,,,,,,,,,29.83,362.3072,2.4857
,,,,,,,,,,,,,,,29.84,362.3295,2.48655
,,,,,,,,,,,,,,,29.85,362.374,2.4874
,,,,,,,,,,,,,,,29.86,362.4376,2.488237
,,,,,,,,,,,,,,,29.87,362.4853,2.489075
,,,,,,,,,,,,,,,29.88,362.5107,2.4899
,,,,,,,,,,,,,,,29.89,362.5139,2.490712
,,,,,,,,,,,,,,,29.9,362.5139,2.49155
,,,,,,,,,,,,,,,29.91,362.5043,2.492388
,,,,,,,,,,,,,,,29.92,362.4884,2.493225
,,,,,,,,,,,,,,,29.93,362.4948,2.494062
,,,,,,,,,,,,,,,29.94,362.5139,2.4949
,,,,,,,,,,,,,,,29.95,362.5457,2.495738
,,,,,,,,,,,,,,,29.96,362.5711,2.496562
,,,,,,,,,,,,,,,29.97,362.587,2.497387
,,,,,,,,,,,,,,,29.98,362.5965,2.498212
,,,,,,,,,,,,,,,29.99,362.5901,2.499038
,,,,,,,,,,,,,,,30,362.5647,2.499875
,,,,,,,,,,,,,,,30.01,362.5393,2.5007
,,,,,,,,,,,,,,,30.02,362.5361,2.501525
,,,,,,,,,,,,,,,30.03,362.5616,2.502375
,,,,,,,,,,,,,,,30.04,362.5965,2.503225
,,,,,,,,,,,,,,,30.05,362.606,2.504075
,,,,,,,,,,,,,,,30.06,362.606,2.504912
,,,,,,,,,,,,,,,30.07,362.6315,2.505738
,,,,,,,,,,,,,,,30.08,362.6919,2.506575
,,,,,,,,,,,,,,,30.09,362.7268,2.507387
,,,,,,,,,,,,,,,30.1,362.7268,2.508225
,,,,,,,,,,,,,,,30.11,362.7205,2.509075
,,,,,,,,,,,,,,,30.12,362.7109,2.5099
,,,,,,,,,,,,,,,30.13,362.7014,2.510737
,,,,,,,,,,,,,,,30.14,362.7109,2.511587
,,,,,,,,,,,,,,,30.15,362.7586,2.512413
,,,,,,,,,,,,,,,30.16,362.8127,2.51325
,,,,,,,,,,,,,,,30.17,362.8477,2.514087
,,,,,,,,,,,,,,,30.18,362.8635,2.5149
,,,,,,,,,,,,,,,30.19,362.8635,2.515725
,,,,,,,,,,,,,,,30.2,362.8572,2.51655
,,,,,,,,,,,,,,,30.21,362.8635,2.517362
,,,,,,,,,,,,,,,30.22,362.8826,2.5182
,,,,,,,,,,,,,,,30.23,362.8985,2.51905
,,,,,,,,,,,,,,,30.24,362.9049,2.519887
,,,,,,,,,,,,,,,30.25,362.8985,2.520737
,,,,,,,,,,,,,,,30.26,362.9081,2.521587
,,,,,,,,,,,,,,,30.27,362.9335,2.522413
,,,,,,,,,,,,,,,30.28,362.9684,2.523237
,,,,,,,,,,,,,,,30.29,362.9843,2.52405
,,,,,,,,,,,,,,,30.3,362.9907,2.5249
,,,,,,,,,,,,,,,30.31,362.9907,2.525725
,,,,,,,,,,,,,,,30.32,362.9843,2.526562
,,,,,,,,,,,,,,,30.33,362.9843,2.5274
,,,,,,,,,,,,,,,30.34,362.9939,2.528237
,,,,,,,,,,,,,,,30.35,363.0034,2.529075
,,,,,,,,,,,,,,,30.36,363.0161,2.529912
,,,,,,,,,,,,,,,30.37,363.0416,2.530725
,,,,,,,,,,,,,,,30.38,363.0797,2.53155
,,,,,,,,,,,,,,,30.39,363.1115,2.532375
,,,,,,,,,,,,,,,30.4,363.1274,2.5332
,,,,,,,,,,,,,,,30.41,363.1465,2.534012
,,,,,,,,,,,,,,,30.42,363.1719,2.534863
,,,,,,,,,,,,,,,30.43,363.1719,2.5357
,,,,,,,,,,,,,,,30.44,363.1369,2.53655
,,,,,,,,,,,,,,,30.45,363.0956,2.537387
,,,,,,,,,,,,,,,30.46,363.0765,2.538225
,,,,,,,,,,,,,,,30.47,363.0892,2.53905
,,,,,,,,,,,,,,,30.48,363.1401,2.539875
,,,,,,,,,,,,,,,30.49,363.1814,2.5407
,,,,,,,,,,,,,,,30.5,363.1973,2.54155
,,,,,,,,,,,,,,,30.51,363.2005,2.542387
,,,,,,,,,,,,,,,30.52,363.2164,2.543225
,,,,,,,,,,,,,,,30.53,363.2386,2.544062
,,,,,,,,,,,,,,,30.54,363.2577,2.544912
,,,,,,,,,,,,,,,30.55,363.2831,2.54575
,,,,,,,,,,,,,,,30.56,363.3086,2.546575
,,,,,,,,,,,,,,,30.57,363.3245,2.547412
,,,,,,,,,,,,,,,30.58,363.3181,2.548237
,,,,,,,,,,,,,,,30.59,363.299,2.549062
,,,,,,,,,,,,,,,30.6,363.2831,2.549887
,,,,,,,,,,,,,,,30.61,363.2927,2.5507
,,,,,,,,,,,,,,,30.62,363.3181,2.551538
,,,,,,,,,,,,,,,30.63,363.3277,2.552375
,,,,,,,,,,,,,,,30.64,363.3277,2.553212
,,,,,,,,,,,,,,,30.65,363.3436,2.554062
,,,,,,,,,,,,,,,30.66,363.369,2.5549
,,,,,,,,,,,,,,,30.67,363.3881,2.555737
,,,,,,,,,,,,,,,30.68,363.4103,2.55655
,,,,,,,,,,,,,,,30.69,363.4294,2.557375
,,,,,,,,,,,,,,,30.7,363.4357,2.558213
,,,,,,,,,,,,,,,30.71,363.4357,2.55905
,,,,,,,,,,,,,,,30.72,363.4485,2.559875
,,,,,,,,,,,,,,,30.73,363.458,2.560725
,,,,,,,,,,,,,,,30.74,363.4548,2.561563
,,,,,,,,,,,,,,,30.75,363.4453,2.5624
,,,,,,,,,,,,,,,30.76,363.4485,2.563225
,,,,,,,,,,,,,,,30.77,363.4707,2.564075
,,,,,,,,,,,,,,,30.78,363.5057,2.564888
,,,,,,,,,,,,,,,30.79,363.5343,2.565712
,,,,,,,,,,,,,,,30.8,363.5661,2.56655
,,,,,,,,,,,,,,,30.81,363.5915,2.567375
,,,,,,,,,,,,,,,30.82,363.6106,2.5682
,,,,,,,,,,,,,,,30.83,363.6201,2.56905
,,,,,,,,,,,,,,,30.84,363.6169,2.5699
,,,,,,,,,,,,,,,30.85,363.6074,2.57075
,,,,,,,,,,,,,,,30.86,363.6169,2.571587
,,,,,,,,,,,,,,,30.87,363.6424,2.572412
,,,,,,,,,,,,,,,30.88,363.6932,2.573237
,,,,,,,,,,,,,,,30.89,363.7409,2.57405
,,,,,,,,,,,,,,,30.9,363.7664,2.574888
,,,,,,,,,,,,,,,30.91,363.7568,2.575712
,,,,,,,,,,,,,,,30.92,363.7187,2.57655
,,,,,,,,,,,,,,,30.93,363.6869,2.577387
,,,,,,,,,,,,,,,30.94,363.6964,2.578225
,,,,,,,,,,,,,,,30.95,363.7282,2.579062
,,,,,,,,,,,,,,,30.96,363.7632,2.579887
,,,,,,,,,,,,,,,30.97,363.7727,2.580725
,,,,,,,,,,,,,,,30.98,363.7632,2.581537
,,,,,,,,,,,,,,,30.99,363.7473,2.582362
,,,,,,,,,,,,,,,31,363.7536,2.5832
,,,,,,,,,,,,,,,31.01,363.7886,2.584025
,,,,,,,,,,,,,,,31.02,363.8522,2.58485
,,,,,,,,,,,,,,,31.03,363.9189,2.5857
,,,,,,,,,,,,,,,31.04,363.9539,2.58655
,,,,,,,,,,,,,,,31.05,363.9539,2.5874
,,,,,,,,,,,,,,,31.06,363.938,2.588238
,,,,,,,,,,,,,,,31.07,363.9285,2.589062
,,,,,,,,,,,,,,,31.08,363.9189,2.5899
,,,,,,,,,,,,,,,31.09,363.9189,2.590725
,,,,,,,,,,,,,,,31.1,363.9253,2.591563
,,,,,,,,,,,,,,,31.11,363.9444,2.5924
,,,,,,,,,,,,,,,31.12,363.9793,2.593225
,,,,,,,,,,,,,,,31.13,364.0111,2.594062
,,,,,,,,,,,,,,,31.14,364.0143,2.5949
,,,,,,,,,,,,,,,31.15,363.9952,2.59575
,,,,,,,,,,,,,,,31.16,364.0016,2.596575
,,,,,,,,,,,,,,,31.17,364.0397,2.5974
,,,,,,,,,,,,,,,31.18,364.0747,2.598225
,,,,,,,,,,,,,,,31.19,364.0906,2.599037
,,,,,,,,,,,,,,,31.2,364.1001,2.599862
,,,,,,,,,,,,,,,31.21,364.1224,2.600688
,,,,,,,,,,,,,,,31.22,364.1319,2.601512
,,,,,,,,,,,,,,,31.23,364.1224,2.602362
,,,,,,,,,,,,,,,31.24,364.1097,2.6032
,,,,,,,,,,,,,,,31.25,364.116,2.60405
,,,,,,,,,,,,,,,31.26,364.1415,2.604887
,,,,,,,,,,,,,,,31.27,364.1605,2.605725
,,,,,,,,,,,,,,,31.28,364.1764,2.60655
,,,,,,,,,,,,,,,31.29,364.186,2.607375
,,,,,,,,,,,,,,,31.3,364.2019,2.608212
,,,,,,,,,,,,,,,31.31,364.2209,2.609062
,,,,,,,,,,,,,,,31.32,364.2464,2.6099
,,,,,,,,,,,,,,,31.33,364.2718,2.61075
,,,,,,,,,,,,,,,31.34,364.2813,2.611588
,,,,,,,,,,,,,,,31.35,364.2782,2.612437
,,,,,,,,,,,,,,,31.36,364.2813,2.613262
,,,,,,,,,,,,,,,31.37,364.3131,2.614087
,,,,,,,,,,,,,,,31.38,364.3545,2.614913
,,,,,,,,,,,,,,,31.39,364.3831,2.615737
,,,,,,,,,,,,,,,31.4,364.399,2.61655
,,,,,,,,,,,,,,,31.41,364.4053,2.617375
,,,,,,,,,,,,,,,31.42,364.4053,2.618212
,,,,,,,,,,,,,,,31.43,364.4085,2.619062
,,,,,,,,,,,,,,,31.44,364.4149,2.6199
,,,,,,,,,,,,,,,31.45,364.418,2.620738
,,,,,,,,,,,,,,,31.46,364.4339,2.621575
,,,,,,,,,,,,,,,31.47,364.4562,2.622412
,,,,,,,,,,,,,,,31.48,364.4784,2.623225
,,,,,,,,,,,,,,,31.49,364.5038,2.62405
,,,,,,,,,,,,,,,31.5,364.5197,2.6249
,,,,,,,,,,,,,,,31.51,364.5261,2.625725
,,,,,,,,,,,,,,,31.52,364.5293,2.626562
,,,,,,,,,,,,,,,31.53,364.5356,2.6274
,,,,,,,,,,,,,,,31.54,364.5515,2.628237
,,,,,,,,,,,,,,,31.55,364.5547,2.629075
,,,,,,,,,,,,,,,31.56,364.5706,2.6299
,,,,,,,,,,,,,,,31.57,364.596,2.630725
,,,,,,,,,,,,,,,31.58,364.6151,2.631562
,,,,,,,,,,,,,,,31.59,364.6024,2.632375
,,,,,,,,,,,,,,,31.6,364.5801,2.633212
,,,,,,,,,,,,,,,31.61,364.5865,2.634025
,,,,,,,,,,,,,,,31.62,364.6056,2.634862
,,,,,,,,,,,,,,,31.63,364.6056,2.635712
,,,,,,,,,,,,,,,31.64,364.577,2.63655
,,,,,,,,,,,,,,,31.65,364.5547,2.6374
,,,,,,,,,,,,,,,31.66,364.577,2.638225
,,,,,,,,,,,,,,,31.67,364.6215,2.639062
,,,,,,,,,,,,,,,31.68,364.6819,2.639887
,,,,,,,,,,,,,,,31.69,364.7169,2.640712
,,,,,,,,,,,,,,,31.7,364.7169,2.64155
,,,,,,,,,,,,,,,31.71,364.7137,2.642387
,,,,,,,,,,,,,,,31.72,364.7327,2.643212
,,,,,,,,,,,,,,,31.73,364.7582,2.64405
,,,,,,,,,,,,,,,31.74,364.7614,2.644887
,,,,,,,,,,,,,,,31.75,364.7677,2.645737
,,,,,,,,,,,,,,,31.76,364.7836,2.646575
,,,,,,,,,,,,,,,31.77,364.8027,2.6474
,,,,,,,,,,,,,,,31.78,364.8281,2.648225
,,,,,,,,,,,,,,,31.79,364.844,2.64905
,,,,,,,,,,,,,,,31.8,364.8472,2.649875
,,,,,,,,,,,,,,,31.81,364.8535,2.6507
,,,,,,,,,,,,,,,31.82,364.8631,2.651525
,,,,,,,,,,,,,,,31.83,364.8694,2.652375
,,,,,,,,,,,,,,,31.84,364.8726,2.653225
,,,,,,,,,,,,,,,31.85,364.8853,2.654063
,,,,,,,,,,,,,,,31.86,364.9108,2.654912
,,,,,,,,,,,,,,,31.87,364.9394,2.655737
,,,,,,,,,,,,,,,31.88,364.9584,2.656562
,,,,,,,,,,,,,,,31.89,364.9807,2.657387
,,,,,,,,,,,,,,,31.9,364.9966,2.658225
,,,,,,,,,,,,,,,31.91,365.0093,2.65905
,,,,,,,,,,,,,,,31.92,365.0252,2.6599
,,,,,,,,,,,,,,,31.93,365.0443,2.660738
,,,,,,,,,,,,,,,31.94,365.0824,2.661575
,,,,,,,,,,,,,,,31.95,365.0952,2.662412
,,,,,,,,,,,,,,,31.96,365.0824,2.663237
,,,,,,,,,,,,,,,31.97,365.0602,2.664075
,,,,,,,,,,,,,,,31.98,365.0697,2.664887
,,,,,,,,,,,,,,,31.99,365.0952,2.665712
,,,,,,,,,,,,,,,32,365.0856,2.66655
,,,,,,,,,,,,,,,32.01,365.0665,2.667375
,,,,,,,,,,,,,,,32.02,365.0665,2.668212
,,,,,,,,,,,,,,,32.03,365.076,2.66905
,,,,,,,,,,,,,,,32.04,365.0697,2.6699
,,,,,,,,,,,,,,,32.05,365.0665,2.67075
,,,,,,,,,,,,,,,32.06,365.0952,2.671575
,,,,,,,,,,,,,,,32.07,365.1682,2.672412
,,,,,,,,,,,,,,,32.08,365.2477,2.673237
,,,,,,,,,,,,,,,32.09,365.2922,2.674062
,,,,,,,,,,,,,,,32.1,365.2922,2.6749
,,,,,,,,,,,,,,,32.11,365.2795,2.675725
,,,,,,,,,,,,,,,32.12,365.2732,2.676563
,,,,,,,,,,,,,,,32.13,365.2636,2.6774
,,,,,,,,,,,,,,,32.14,365.2318,2.678237
,,,,,,,,,,,,,,,32.15,365.2128,2.679062
,,,,,,,,,,,,,,,32.16,365.2223,2.6799
,,,,,,,,,,,,,,,32.17,365.2573,2.680737
,,,,,,,,,,,,,,,32.18,365.2986,2.68155
,,,,,,,,,,,,,,,32.19,365.3272,2.682375
,,,,,,,,,,,,,,,32.2,365.3495,2.683187
,,,,,,,,,,,,,,,32.21,365.3526,2.684025
,,,,,,,,,,,,,,,32.22,365.3749,2.68485
,,,,,,,,,,,,,,,32.23,365.4099,2.685688
,,,,,,,,,,,,,,,32.24,365.4289,2.686525
,,,,,,,,,,,,,,,32.25,365.4289,2.687387
,,,,,,,,,,,,,,,32.26,365.413,2.688225
,,,,,,,,,,,,,,,32.27,365.394,2.689062
,,,,,,,,,,,,,,,32.28,365.3781,2.689888
,,,,,,,,,,,,,,,32.29,365.3654,2.690712
,,,,,,,,,,,,,,,32.3,365.359,2.691562
,,,,,,,,,,,,,,,32.31,365.359,2.692387
,,,,,,,,,,,,,,,32.32,365.3685,2.693225
,,,,,,,,,,,,,,,32.33,365.4003,2.694075
,,,,,,,,,,,,,,,32.34,365.4448,2.694925
,,,,,,,,,,,,,,,32.35,365.4861,2.69575
,,,,,,,,,,,,,,,32.36,365.5052,2.696587
,,,,,,,,,,,,,,,32.37,365.5148,2.697412
,,,,,,,,,,,,,,,32.38,365.5243,2.698237
,,,,,,,,,,,,,,,32.39,365.5306,2.69905
,,,,,,,,,,,,,,,32.4,365.5148,2.699875
,,,,,,,,,,,,,,,32.41,365.4893,2.7007
,,,,,,,,,,,,,,,32.42,365.4702,2.701525
,,,,,,,,,,,,,,,32.43,365.4702,2.702375
,,,,,,,,,,,,,,,32.44,365.4989,2.703212
,,,,,,,,,,,,,,,32.45,365.5561,2.704062
,,,,,,,,,,,,,,,32.46,365.6006,2.7049
,,,,,,,,,,,,,,,32.47,365.6228,2.705725
,,,,,,,,,,,,,,,32.48,365.6165,2.70655
,,,,,,,,,,,,,,,32.49,365.6069,2.707375
,,,,,,,,,,,,,,,32.5,365.5974,2.708225
,,,,,,,,,,,,,,,32.51,365.5847,2.709075
,,,,,,,,,,,,,,,32.52,365.5752,2.709913
,,,,,,,,,,,,,,,32.53,365.5815,2.71075
,,,,,,,,,,,,,,,32.54,365.6069,2.711587
,,,,,,,,,,,,,,,32.55,365.6419,2.712425
,,,,,,,,,,,,,,,32.56,365.6674,2.713262
,,,,,,,,,,,,,,,32.57,365.6832,2.714087
,,,,,,,,,,,,,,,32.58,365.6928,2.714925
,,,,,,,,,,,,,,,32.59,365.6864,2.715737
,,,,,,,,,,,,,,,32.6,365.6928,2.716563
