"C35",,
"Temps","Force","Stroke"
"sec","N","mm"
"7.37","1801.79","0.6140625"
"7.38","1807.095","0.6148875"
"7.39","1812.388","0.615725"
"7.4","1817.694","0.6165625"
"7.41","1823.018","0.6174"
"7.42","1828.353","0.6182375"
"7.43","1833.722","0.6190625"
"7.44","1839.113","0.6198875"
"7.45","1844.508","0.620725"
"7.46","1849.887","0.62155"
"7.47","1855.237","0.622375"
"7.48","1860.536","0.6232125"
"7.49","1865.784","0.62405"
"7.5","1871.017","0.6249"
"7.51","1876.262","0.6257375"
"7.52","1881.555","0.626575"
"7.53","1886.93","0.6274125"
"7.54","1892.351","0.6282375"
"7.55","1897.771","0.6290625"
"7.56","1903.137","0.6299125"
"7.57","1908.436","0.63075"
"7.58","1913.678","0.6315875"
"7.59","1918.929","0.632425"
"7.6","1924.251","0.6332625"
"7.61","1929.623","0.6341125"
"7.62","1935.002","0.6349375"
"7.63","1940.368","0.6357625"
"7.64","1945.728","0.636575"
"7.65","1951.065","0.6374"
"7.66","1956.352","0.638225"
"7.67","1961.565","0.6390375"
"7.68","1966.74","0.639875"
"7.69","1971.906","0.6407125"
"7.7","1977.053","0.641575"
"7.71","1982.231","0.6424125"
"7.72","1987.48","0.64325"
"7.73","1992.823","0.644075"
"7.74","1998.215","0.6449"
"7.75","2003.568","0.645725"
"7.76","2008.848","0.6465625"
"7.77","2014.049","0.6474"
"7.78","2019.25","0.64825"
"7.79","2024.482","0.6490875"
"7.8","2029.781","0.649925"
"7.81","2035.135","0.650775"
"7.82","2040.494","0.6516"
"7.83","2045.851","0.6524375"
"7.84","2051.194","0.65325"
"7.85","2056.516","0.6540625"
"7.86","2061.79","0.6548875"
"7.87","2067.003","0.6557125"
"7.88","2072.15","0.6565375"
"7.89","2077.252","0.6573875"
"7.9","2082.338","0.6582375"
"7.91","2087.45","0.6590625"
"7.92","2092.628","0.6599"
"7.93","2097.886","0.660725"
"7.94","2103.186","0.66155"
"7.95","2108.482","0.662375"
"7.96","2113.749","0.6632125"
"7.97","2118.988","0.66405"
"7.98","2124.201","0.6648875"
"7.99","2129.415","0.665725"
"8","2134.647","0.6665625"
"8.01","2139.902","0.6674125"
"8.02","2145.16","0.6682375"
"8.03","2150.443","0.669075"
"8.04","2155.755","0.6699"
"8.05","2161.074","0.6707375"
"8.06","2166.367","0.6715625"
"8.07","2171.602","0.6723875"
"8.08","2176.784","0.6732125"
"8.09","2181.937","0.6740625"
"8.1","2187.08","0.6749125"
"8.11","2192.252","0.6757625"
"8.12","2197.466","0.6765875"
"8.13","2202.749","0.6774125"
"8.14","2208.083","0.6782375"
"8.15","2213.399","0.67905"
"8.16","2218.637","0.6799"
"8.17","2223.816","0.680725"
"8.18","2228.969","0.6815625"
"8.19","2234.116","0.6824"
"8.2","2239.294","0.6832375"
"8.21","2244.492","0.684075"
"8.22","2249.721","0.6849125"
"8.23","2254.969","0.6857375"
