"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"1.78","837.0209","0.148225","0.01233419","1.78","693.1973","0.1482125","0.01188914","1.78","449.1107","0.1482375","0.003178914"
"1.79","840.7338","0.1490625","0.01233419","1.79","694.9838","0.1490375","0.01233419","1.79","450.6143","0.149075","0.003178914"
"1.8","844.4786","0.1499","0.01233419","1.8","696.7481","0.1498625","0.01233419","1.8","452.1274","0.1499","0.002733866"
"1.81","848.2964","0.150725","0.01233419","1.81","698.4901","0.150675","0.01233419","1.81","453.6406","0.150725","0.003178914"
"1.82","852.1557","0.15155","0.01233419","1.82","700.2418","0.1515125","0.01233419","1.82","455.1125","0.15155","0.003178914"
"1.83","856.0149","0.152375","0.01233419","1.83","702.006","0.15235","0.01233419","1.83","456.5207","0.1523875","0.003178914"
"1.84","859.8455","0.1532125","0.01188914","1.84","703.7322","0.1532","0.01233419","1.84","457.8813","0.153225","0.003560384"
"1.85","863.6379","0.1540625","0.01188914","1.85","705.4265","0.15405","0.01233419","1.85","459.2323","0.15405","0.003560384"
"1.86","867.4081","0.1549","0.01188914","1.86","707.1273","0.1548875","0.01233419","1.86","460.6183","0.1548875","0.003560384"
"1.87","871.1656","0.1557375","0.01271566","1.87","708.8852","0.1557125","0.01233419","1.87","462.0425","0.155725","0.003560384"
"1.88","874.9453","0.156575","0.01309713","1.88","710.6654","0.1565375","0.01271566","1.88","463.4762","0.156575","0.003178914"
"1.89","878.7377","0.1574125","0.01392365","1.89","712.3979","0.157375","0.01271566","1.89","464.9226","0.1574","0.003178914"
"1.9","882.5207","0.15825","0.01430511","1.9","714.0541","0.158225","0.01309713","1.9","466.3912","0.158225","0.002733866"
"1.91","886.3099","0.159075","0.01430511","1.91","715.6658","0.15905","0.01309713","1.91","467.8917","0.15905","0.003560384"
"1.92","890.1055","0.1599","0.01309713","1.92","717.2807","0.1599","0.01271566","1.92","469.3667","0.159875","0.003941854"
"1.93","893.8885","0.1607125","0.01271566","1.93","718.9338","0.1607375","0.01271566","1.93","470.7909","0.1607","0.003941854"
"1.94","897.6555","0.161525","0.01233419","1.94","720.5868","0.161575","0.01271566","1.94","472.1927","0.1615375","0.003941854"
